loss,params,time
-0.4782608695652174,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 16, 'units4': 512}",366.216101799997
-0.5019762845849802,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.3, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 128, 'units3': 32, 'units4': 128}",672.8899376000008
-0.4901185770750988,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.1, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adadelta', 'units1': 512, 'units2': 16, 'units3': 128, 'units4': 256}",487.74223920000077
-0.48616600790513836,"{'activation': 'softmax', 'batch_size': 128, 'dropout1': 0.4, 'dropout2': 0.4, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 128, 'units2': 32, 'units3': 64, 'units4': 128}",553.4500832000012
-0.4268774703557312,"{'activation': 'sigmoid', 'batch_size': 512, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 32, 'units4': 64}",111.46380760000102
-0.466403162055336,"{'activation': 'relu', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.1, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 256, 'units3': 8, 'units4': 128}",679.3133462000005
-0.4901185770750988,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 256, 'units2': 8, 'units3': 512, 'units4': 256}",293.2551721000018
-0.5335968379446641,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 128, 'units4': 256}",912.0306096999993
-0.47035573122529645,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 128, 'units4': 256}",908.7308258999983
-0.466403162055336,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 128, 'units4': 256}",910.5602116000009
